DATE,ENUC114640210
1990-01-01,472
1990-04-01,510
1990-07-01,544
1990-10-01,492
1991-01-01,496
1991-04-01,517
1991-07-01,532
1991-10-01,513
1992-01-01,496
1992-04-01,522
1992-07-01,563
1992-10-01,581
1993-01-01,477
1993-04-01,552
1993-07-01,568
1993-10-01,569
1994-01-01,493
1994-04-01,568
1994-07-01,622
1994-10-01,567
1995-01-01,565
1995-04-01,597
1995-07-01,664
1995-10-01,576
1996-01-01,597
1996-04-01,582
1996-07-01,653
1996-10-01,593
1997-01-01,604
1997-04-01,625
1997-07-01,723
1997-10-01,630
1998-01-01,652
1998-04-01,636
1998-07-01,732
1998-10-01,675
1999-01-01,643
1999-04-01,666
1999-07-01,715
1999-10-01,698
2000-01-01,683
2000-04-01,677
2000-07-01,755
2000-10-01,728
2001-01-01,705
2001-04-01,766
2001-07-01,739
2001-10-01,752
2002-01-01,741
2002-04-01,787
2002-07-01,819
2002-10-01,790
2003-01-01,764
2003-04-01,827
2003-07-01,864
2003-10-01,835
2004-01-01,803
2004-04-01,865
2004-07-01,896
2004-10-01,870
2005-01-01,831
2005-04-01,918
2005-07-01,965
2005-10-01,880
2006-01-01,915
2006-04-01,922
2006-07-01,1016
2006-10-01,931
2007-01-01,949
2007-04-01,959
2007-07-01,1053
2007-10-01,951
2008-01-01,987
2008-04-01,988
2008-07-01,1102
2008-10-01,1002
2009-01-01,993
2009-04-01,1000
2009-07-01,1131
2009-10-01,1016
2010-01-01,1010
2010-04-01,1001
2010-07-01,1109
2010-10-01,1037
2011-01-01,963
2011-04-01,1027
2011-07-01,1068
2011-10-01,1006
2012-01-01,1008
2012-04-01,1085
2012-07-01,1120
2012-10-01,1091
2013-01-01,1020
2013-04-01,1098
2013-07-01,1135
2013-10-01,1086
2014-01-01,1003
2014-04-01,1130
2014-07-01,1172
2014-10-01,1119
2015-01-01,1069
2015-04-01,1156
2015-07-01,1207
2015-10-01,1155
2016-01-01,1093
2016-04-01,1204
2016-07-01,1225
2016-10-01,1120
2017-01-01,1159
2017-04-01,1176
2017-07-01,1280
2017-10-01,1156
2018-01-01,1146
